beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
"Hop Hyzer","Anderson Valley Brewing Company","Pale Ale - American",4.9,40,,,,,,,,3.5,"2019-01-29 20:48:20",https://untappd.com/c/706489268,https://untappd.com/beer/2288209,https://untappd.com/brewery/3880,"United States",Boonville,CA,"light,hoppy","State Line Liquors",Can,706489268,2288209,3880,https://untappd.s3.amazonaws.com/photos/2019_01_30/e46c8d2fa248fec843c55ab9e0674426_raw.jpg,3.42,3.43,,0,0
"Stone Tropic of Thunder Lager","Stone Brewing","Lager - Pale",5.8,58,"For one of my favorite breweries, this one's a little disappointing.",,,,,,,2.75,"2019-01-29 20:56:08",https://untappd.com/c/706491871,https://untappd.com/beer/2841263,https://untappd.com/brewery/1204,"United States",Escondido,CA,hoppy,"State Line Liquors",Can,706491871,2841263,1204,https://untappd.s3.amazonaws.com/photos/2019_01_30/30c157e3817468281df854643bcd7e3e_raw.jpg,3.6,3.6,,0,0
Sofie,"Goose Island Beer Co.","Farmhouse Ale - Saison",6.5,20,,,,,,,,4.25,"2019-01-29 21:25:31",https://untappd.com/c/706501106,https://untappd.com/beer/6807,https://untappd.com/brewery/2898,"United States",Chicago,IL,,"State Line Liquors",Bottle,706501106,6807,2898,https://untappd.s3.amazonaws.com/photos/2019_01_30/a48080a55c67629cccc871547555b44c_raw.jpg,3.75,3.75,,0,0
"Doggie Style","Flying Dog Brewery","Pale Ale - American",5.5,35,,,,,,,,3.75,"2019-02-02 12:07:16",https://untappd.com/c/707695842,https://untappd.com/beer/3775,https://untappd.com/brewery/540,"United States",Frederick,MD,hoppy,"State Line Liquors",Bottle,707695842,3775,540,https://untappd.s3.amazonaws.com/photos/2019_02_02/f0389eec0ea5b9ce7b916e90ab0ba109_raw.jpg,3.55,3.55,,0,0
"Limey Gose","Victory Brewing Company","Sour - Gose",4.7,0,,,,,,,,3.5,"2019-02-03 19:35:05",https://untappd.com/c/708762128,https://untappd.com/beer/1625214,https://untappd.com/brewery/1326,"United States",Downingtown,PA,"sour,Lime","State Line Liquors",Can,708762128,1625214,1326,https://untappd.s3.amazonaws.com/photos/2019_02_04/377fe6fada84cebbd05af0032f929afb_raw.jpg,3.66,3.66,,0,0
"Gulden Draak 9000 Quadruple","Brouwerij Van Steenberge","Belgian Quadrupel",10.5,25,,,,,,,,4.75,"2019-02-03 20:01:45",https://untappd.com/c/708788383,https://untappd.com/beer/96597,https://untappd.com/brewery/7778,Belgium,Ertvelde,Vlaanderen,strong,"State Line Liquors",Bottle,708788383,96597,7778,https://untappd.s3.amazonaws.com/photos/2019_02_04/c02b506a52d294d8c88a7b2e0427a8fc_raw.jpg,3.87,3.87,,1,0
"Green Peppercorn Tripel","The Brewer's Art","Belgian Tripel",9,0,,,,,,,,3.5,"2019-02-03 21:18:01",https://untappd.com/c/708848549,https://untappd.com/beer/16951,https://untappd.com/brewery/242,"United States",Baltimore,MD,,"State Line Liquors",Can,708848549,16951,242,https://untappd.s3.amazonaws.com/photos/2019_02_04/f34d469fc3a442094168b1db9a7bb340_raw.jpg,3.75,3.75,,0,0
"The Reverend","Avery Brewing Co.","Belgian Quadrupel",10,24,,,,,,,,4,"2019-02-04 21:44:01",https://untappd.com/c/709055652,https://untappd.com/beer/4516,https://untappd.com/brewery/62,"United States",Boulder,CO,"malty,sweet,strong","State Line Liquors",Can,709055652,4516,62,https://untappd.s3.amazonaws.com/photos/2019_02_05/3dd8fcb43e9fe40d2ef0358f4980e86b_raw.jpg,3.94,3.94,,0,0
IPA,"Soma Beer Co.","IPA - American",6.8,72,,,,,,,,3.75,"2019-02-06 22:11:12",https://untappd.com/c/709491423,https://untappd.com/beer/2604222,https://untappd.com/brewery/389174,"United States","San Francisco",CA,,"State Line Liquors",,709491423,2604222,389174,https://untappd.s3.amazonaws.com/photos/2019_02_07/da4a17eb6cfeca6c83c15276c162ca26_raw.jpg,3.66,3.66,,0,0
"St. Festivus","The Brewer's Art","Winter Ale",8,0,,,,,,,,4.25,"2019-02-07 20:29:43",https://untappd.com/c/709726535,https://untappd.com/beer/17703,https://untappd.com/brewery/242,"United States",Baltimore,MD,"sweet,dark","State Line Liquors",Can,709726535,17703,242,https://untappd.s3.amazonaws.com/photos/2019_02_08/2c59f1841fdc121ccab94ceb145d0c3b_raw.jpg,3.71,3.71,,0,0
